num_exp,problem,algo,fit
[1],Sphere,PSO,3.811394980320429e-17
[1],Sphere,BB,7.05171842627764e-17
[1],Sphere,FIPS,4.2552706153889613e-85
[1],Sphere,DE,1.0392630814246863e-13
[1],Sphere,JAYA,1.7268713342802692e-07
[1],Sphere,ABC,6.238722845235188e-21
[1],Sphere,CS,0.005827654064949137
[1],Sphere,FF,3.6531213081185276e-26
[1],Sphere,GWO,0.0
[1],Sphere,SCA,7.849048274507574e-52
[1],Sphere,TLBO,1.5339366450668817e-181
[1],Sphere,WO,4.136721143488515e-59
[1],Ackley,PSO,1.1551485027098285
[1],Ackley,BB,4.0358397956907766e-08
[1],Ackley,FIPS,4.440892098500626e-16
[1],Ackley,DE,1.8650478996740105e-06
[1],Ackley,JAYA,0.0022295209180360764
[1],Ackley,ABC,1.4651431179402152e-09
[1],Ackley,CS,4.036012970995124
[1],Ackley,FF,1.283417816466681e-13
[1],Ackley,GWO,4.440892098500626e-16
[1],Ackley,SCA,3.9968028886505635e-15
[1],Ackley,TLBO,3.9968028886505635e-15
[1],Ackley,WO,7.549516567451064e-15
[1],Griewank,PSO,0.03696050623815539
[1],Griewank,BB,0.02464444869462945
[1],Griewank,FIPS,0.0
[1],Griewank,DE,7.80451259174697e-11
[1],Griewank,JAYA,0.2960429786480928
[1],Griewank,ABC,0.0
[1],Griewank,CS,0.9992037864226194
[1],Griewank,FF,575.1823920323234
[1],Griewank,GWO,0.0
[1],Griewank,SCA,0.0
[1],Griewank,TLBO,0.0
[1],Griewank,WO,0.0
[1],Rastrigin,PSO,142.49175256514326
[1],Rastrigin,BB,88.55087515735522
[1],Rastrigin,FIPS,0.0
[1],Rastrigin,DE,159.22718881806964
[1],Rastrigin,JAYA,211.72460590290126
[1],Rastrigin,ABC,5.684341886080802e-14
[1],Rastrigin,CS,132.7520844259247
[1],Rastrigin,FF,0.0
[1],Rastrigin,GWO,0.0
[1],Rastrigin,SCA,0.0
[1],Rastrigin,TLBO,6.964713399653363
[1],Rastrigin,WO,28.853787466610356
[1],Schwefel,PSO,3545.5716509639988
[1],Schwefel,BB,3780.928551250596
[1],Schwefel,FIPS,8128.658805218791
[1],Schwefel,DE,5280.04113986203
[1],Schwefel,JAYA,7428.646756395996
[1],Schwefel,ABC,2070.186158966226
[1],Schwefel,CS,3888.697176409034
[1],Schwefel,FF,10280.580382520144
[1],Schwefel,GWO,8215.114459607146
[1],Schwefel,SCA,6931.059711965695
[1],Schwefel,TLBO,2824.537097333965
[1],Schwefel,WO,4683.105327833095
[1],Rosenbrock,PSO,22.102506076810467
[1],Rosenbrock,BB,71.96299714283697
[1],Rosenbrock,FIPS,28.856106293432983
[1],Rosenbrock,DE,25.24532499122904
[1],Rosenbrock,JAYA,21.40964563126479
[1],Rosenbrock,ABC,26.737680449766568
[1],Rosenbrock,CS,57.96715001527321
[1],Rosenbrock,FF,28.907098596000544
[1],Rosenbrock,GWO,28.64534085844376
[1],Rosenbrock,SCA,26.88115024983252
[1],Rosenbrock,TLBO,23.133504014175678
[1],Rosenbrock,WO,77.69523298714383
[1],Michalewicz,PSO,-22.475157267969717
[1],Michalewicz,BB,-19.8510849696797
[1],Michalewicz,FIPS,-11.934832032546723
[1],Michalewicz,DE,-16.10176502207379
[1],Michalewicz,JAYA,-9.89019234263872
[1],Michalewicz,ABC,-16.45895291276356
[1],Michalewicz,CS,-18.213591492268325
[1],Michalewicz,FF,-6.1249987792189815
[1],Michalewicz,GWO,-10.201188084626551
[1],Michalewicz,SCA,-8.972648553672208
[1],Michalewicz,TLBO,-27.58839693582411
[1],Michalewicz,WO,-14.823013764599326
[2],Sphere,PSO,2.8478451518575573e-18
[2],Sphere,BB,9.259944407684442e-18
[2],Sphere,FIPS,6.873586522605562e-84
[2],Sphere,DE,6.560784805391074e-14
[2],Sphere,JAYA,1.7183808693212725e-07
[2],Sphere,ABC,4.3158802730904194e-20
[2],Sphere,CS,0.0036678902213861065
[2],Sphere,FF,3.1714579285106467e-26
[2],Sphere,GWO,0.0
[2],Sphere,SCA,1.0307580735750813e-43
[2],Sphere,TLBO,1.3572029874554193e-183
[2],Sphere,WO,8.161821423934357e-58
[2],Ackley,PSO,2.0133152362557962
[2],Ackley,BB,1.9256483074769903e-08
[2],Ackley,FIPS,4.440892098500626e-16
[2],Ackley,DE,1.252016503361375e-06
[2],Ackley,JAYA,0.003592279709451862
[2],Ackley,ABC,7.06346314771622e-09
[2],Ackley,CS,3.9050167470564685
[2],Ackley,FF,1.0702549957386509e-13
[2],Ackley,GWO,4.440892098500626e-16
[2],Ackley,SCA,3.9968028886505635e-15
[2],Ackley,TLBO,3.9968028886505635e-15
[2],Ackley,WO,7.549516567451064e-15
[2],Griewank,PSO,0.007396040334118781
[2],Griewank,BB,7.327471962526033e-15
[2],Griewank,FIPS,0.0
[2],Griewank,DE,4.935646225057155e-09
[2],Griewank,JAYA,0.36617773179279145
[2],Griewank,ABC,1.432187701766452e-14
[2],Griewank,CS,0.997038707873943
[2],Griewank,FF,660.2145286763466
[2],Griewank,GWO,0.0
[2],Griewank,SCA,0.0
[2],Griewank,TLBO,0.0
[2],Griewank,WO,0.0
[2],Rastrigin,PSO,114.41982117409154
[2],Rastrigin,BB,112.50092018157582
[2],Rastrigin,FIPS,0.0
[2],Rastrigin,DE,155.88720294967652
[2],Rastrigin,JAYA,229.46593526705533
[2],Rastrigin,ABC,5.684341886080802e-14
[2],Rastrigin,CS,119.48441893302234
[2],Rastrigin,FF,0.0
[2],Rastrigin,GWO,0.0
[2],Rastrigin,SCA,0.0
[2],Rastrigin,TLBO,7.95973571469375
[2],Rastrigin,WO,12.93447198309093
[2],Schwefel,PSO,2469.0512713591816
[2],Schwefel,BB,4168.097986014805
[2],Schwefel,FIPS,8484.831727776189
[2],Schwefel,DE,6010.398447105615
[2],Schwefel,JAYA,7787.770293796322
[2],Schwefel,ABC,1891.7667665105982
[2],Schwefel,CS,4043.1859016476155
[2],Schwefel,FF,10189.467757592558
[2],Schwefel,GWO,8832.913259646613
[2],Schwefel,SCA,7386.033533048425
[2],Schwefel,TLBO,3750.845687601577
[2],Schwefel,WO,3516.9679975744275
[2],Rosenbrock,PSO,77.14390497453505
[2],Rosenbrock,BB,24.90003206300916
[2],Rosenbrock,FIPS,28.831850110284126
[2],Rosenbrock,DE,25.75851723443857
[2],Rosenbrock,JAYA,23.923808438422917
[2],Rosenbrock,ABC,27.372417847695605
[2],Rosenbrock,CS,57.23133278439637
[2],Rosenbrock,FF,28.90965190478731
[2],Rosenbrock,GWO,28.796153141053743
[2],Rosenbrock,SCA,26.80202380258498
[2],Rosenbrock,TLBO,21.907793721783953
