num_exp,problem,algo,fit
[1],F1,PSO,34555834228.099495
[1],F1,DE,120.03503796039466
[1],F1,JAYA,6514223762.596183
[1],F1,FF,43754275237.92186
[1],F1,GWO,31748430349.042164
[1],F1,SCA,528369859.95953697
[1],F1,WO,1669855655.142857
[1],F2,PSO,104572.51244692385
[1],F2,DE,200.00000000000003
[1],F2,JAYA,30934.559919378615
[1],F2,FF,71459.35745829184
[1],F2,GWO,72582.38884257503
[1],F2,SCA,2272.9627532718923
[1],F2,WO,22031.78461385286
[1],F3,PSO,14121.177661662843
[1],F3,DE,331.8107116647051
[1],F3,JAYA,928.6818419799688
[1],F3,FF,8235.943052244995
[1],F3,GWO,3046.6933069933684
[1],F3,SCA,381.57161307908245
[1],F3,WO,492.80965366851785
[1],F4,PSO,49178.76898438375
[1],F4,DE,606.2725369061922
[1],F4,JAYA,13522.362527065583
[1],F4,FF,54981.34844463062
[1],F4,GWO,36823.85256988761
[1],F4,SCA,1107.2619108447013
[1],F4,WO,15827.66173956524
[1],F5,PSO,500.08031756257617
[1],F5,DE,500.0017464018566
[1],F5,JAYA,500.01300975436874
[1],F5,FF,500.01583095208827
[1],F5,GWO,500.0131721084547
[1],F5,SCA,500.0005951423102
[1],F5,WO,500.0014333852538
[1],F6,PSO,81851.85801380254
[1],F6,DE,1122.459953900091
[1],F6,JAYA,45197.31077601458
[1],F6,FF,31662.633017551598
[1],F6,GWO,24565.093835412048
[1],F6,SCA,10269.476692069758
[1],F6,WO,1616.3641359377164
[1],F7,PSO,708.330386725365
[1],F7,DE,700.039806864443
[1],F7,JAYA,701.3266834296228
[1],F7,FF,701.9982840011675
[1],F7,GWO,700.8821648687233
[1],F7,SCA,700.2216206159335
[1],F7,WO,700.0387329344125
[1],F8,PSO,869.9809911785161
[1],F8,DE,800.0000000000001
[1],F8,JAYA,808.7251999094391
[1],F8,FF,833.1639550024427
[1],F8,GWO,816.5417091593562
[1],F8,SCA,800.6213187537636
[1],F8,WO,813.211101135487
[1],F9,PSO,7505.601146172321
[1],F9,DE,7821.512186773749
[1],F9,JAYA,6825.718705169245
[1],F9,FF,7510.501704519346
[1],F9,GWO,7181.225145293932
[1],F9,SCA,6059.158795797932
[1],F9,WO,5227.946300159683
[1],F10,PSO,13394184.50631514
[1],F10,DE,101278.24723689342
[1],F10,JAYA,171239.04133883206
[1],F10,FF,250455.21398699563
[1],F10,GWO,88018.5530382595
[1],F10,SCA,97829.579291345
[1],F10,WO,31903.892640191614
[1],F11,PSO,8084730024.089943
[1],F11,DE,8001325.752516004
[1],F11,JAYA,131935829.76004004
[1],F11,FF,4293668408.756378
[1],F11,GWO,3271423811.042354
[1],F11,SCA,10910702.377232876
[1],F11,WO,1150619.3650476055
[1],F12,PSO,6553157454.555264
[1],F12,DE,30567.606333643304
[1],F12,JAYA,94463813.92991962
[1],F12,FF,3762718643.8084884
[1],F12,GWO,1788148533.958726
[1],F12,SCA,2008597.7622128837
[1],F12,WO,45811.73921894579
[1],F13,PSO,23360487.58744976
[1],F13,DE,41409.376412669604
[1],F13,JAYA,612289.104395177
[1],F13,FF,561085.6205714841
[1],F13,GWO,2922325.137473641
[1],F13,SCA,198972.3336480697
[1],F13,WO,443489.3113888571
[1],F14,PSO,60508404.61634901
[1],F14,DE,70746.30499726851
[1],F14,JAYA,10586443.581986196
[1],F14,FF,1227240127.4346492
[1],F14,GWO,1099627285.7934983
[1],F14,SCA,562100.0310470875
[1],F14,WO,127286.00149084326
[1],F15,PSO,77727578.23552784
[1],F15,DE,1511.6737624572386
[1],F15,JAYA,86889.23100411374
[1],F15,FF,113202282.89974602
[1],F15,GWO,1787159.5689073664
[1],F15,SCA,72130.72969094335
[1],F15,WO,635816.1969690054
[1],F16,PSO,218369.45097574117
[1],F16,DE,141011.29502790305
[1],F16,JAYA,117092.0448006222
[1],F16,FF,3802063682.822135
[1],F16,GWO,328132918279.96515
[1],F16,SCA,48881.91618276037
[1],F16,WO,29890.80940399618
[1],F17,PSO,6845750.062378772
[1],F17,DE,60091.98312733121
[1],F17,JAYA,397177.2512125289
[1],F17,FF,78503.10772208779
[1],F17,GWO,158262.1281406087
[1],F17,SCA,89794.98301669864
[1],F17,WO,54272.47697451234
[1],F18,PSO,1396903380336.6511
[1],F18,DE,2414.4007455522587
[1],F18,JAYA,95579685.85985968
[1],F18,FF,29681505163.50315
[1],F18,GWO,8992635072.332329
[1],F18,SCA,855512.9639767838
[1],F18,WO,114597.31811486269
[1],F19,PSO,10814.626522725086
[1],F19,DE,1998.5490650786421
[1],F19,JAYA,5032.464004533703
[1],F19,FF,6256.116506878649
[1],F19,GWO,7196.481793867278
[1],F19,SCA,2394.9054012563656
[1],F19,WO,18546.96149686629
[1],F20,PSO,34751.31447357675
[1],F20,DE,2399.2977993403438
[1],F20,JAYA,6895.597359936685
[1],F20,FF,17963.83049085971
[1],F20,GWO,33160.800805969935
[1],F20,SCA,2479.405654155641
[1],F20,WO,9569.845032230161
[2],F1,PSO,41424433682.19703
[2],F1,DE,124.22977944899971
[2],F1,JAYA,6894056015.096183
[2],F1,FF,41439184841.012634
[2],F1,GWO,13063654972.2616
[2],F1,SCA,115656282.70967016
[2],F1,WO,87725399.57096262
[2],F2,PSO,72324.02710723961
[2],F2,DE,200.00000000000003
[2],F2,JAYA,51146.084927118274
[2],F2,FF,66192.75388138439
[2],F2,GWO,87630.6547305363
[2],F2,SCA,1972.7040178902769
[2],F2,WO,4465.245570499845
[2],F3,PSO,5768.864054286733
[2],F3,DE,331.8107116647051
[2],F3,JAYA,998.9340306233324
[2],F3,FF,8155.345163346391
[2],F3,GWO,6279.288347385859
[2],F3,SCA,350.54446244295184
[2],F3,WO,457.0016108014022
[2],F4,PSO,48380.628539565274
[2],F4,DE,570.1521405739829
[2],F4,JAYA,8053.409768203219
[2],F4,FF,44303.54989292573
[2],F4,GWO,51995.14875746229
[2],F4,SCA,1641.276453403072
[2],F4,WO,9129.078221224318
[2],F5,PSO,500.088537918249
[2],F5,DE,500.00137373203887
[2],F5,JAYA,500.0126920810687
[2],F5,FF,500.0232132237014
[2],F5,GWO,500.01545494879133
[2],F5,SCA,500.00077868331476
[2],F5,WO,500.0007551785492
[2],F6,PSO,169576.13084011403
[2],F6,DE,1851.976423069368
[2],F6,JAYA,30764.72905858694
[2],F6,FF,27109.11934624656
[2],F6,GWO,26258.254641112686
[2],F6,SCA,8204.03041971186
[2],F6,WO,2394.7997522646083
[2],F7,PSO,703.9976129626833
[2],F7,DE,700.3968908500619
[2],F7,JAYA,701.8396005413548
[2],F7,FF,701.9944464112051
[2],F7,GWO,702.2896177769143
[2],F7,SCA,700.2511998577802
[2],F7,WO,700.1413771793289
[2],F8,PSO,851.7384445828011
[2],F8,DE,800.0
[2],F8,JAYA,806.9378628220788
[2],F8,FF,832.7976240140302
[2],F8,GWO,817.433486612309
[2],F8,SCA,800.9098387324517
[2],F8,WO,822.6839884246332
[2],F9,PSO,8965.232861196673
[2],F9,DE,7855.653549220296
[2],F9,JAYA,7772.9954034157645
[2],F9,FF,7303.767606127602
[2],F9,GWO,7939.526970719272
[2],F9,SCA,6116.063633997893
[2],F9,WO,5350.805692473144
[2],F10,PSO,1749483.2083538203
[2],F10,DE,80448.6517501497
[2],F10,JAYA,47018.44078493175
[2],F10,FF,1353253.8369391793
[2],F10,GWO,889110.6601460215
[2],F10,SCA,161486.85381339115
[2],F10,WO,23518.29791348052
[2],F11,PSO,15950841548.502735
[2],F11,DE,24496591.423999384
[2],F11,JAYA,202239008.7071709
[2],F11,FF,3729186676.264572
[2],F11,GWO,2712628251.634493
[2],F11,SCA,8882718.318257868
[2],F11,WO,421926.07121494436
[2],F12,PSO,3983328527.514418
[2],F12,DE,3509.1038968072753
[2],F12,JAYA,29827086.16317538
[2],F12,FF,2426066825.904713
[2],F12,GWO,1117420231.344117
[2],F12,SCA,2541597.296134549
[2],F12,WO,92567.87824635324
[2],F13,PSO,9094459.112278044
[2],F13,DE,67703.05825098435
[2],F13,JAYA,5627379.4306794135
[2],F13,FF,599509.2444730663
[2],F13,GWO,9216442.424577855
[2],F13,SCA,271052.2536838083
[2],F13,WO,715012.8787007253
[2],F14,PSO,2023856139.4910543
[2],F14,DE,177615.8173751415
[2],F14,JAYA,9135770.745764144
[2],F14,FF,1348924301.2246532
[2],F14,GWO,1392918089.2115767
[2],F14,SCA,737871.8592570765
[2],F14,WO,68362.41201206965
[2],F15,PSO,320185594.3734665
[2],F15,DE,1586.86755281563
[2],F15,JAYA,23654.994894920022
[2],F15,FF,51136300.41876851
[2],F15,GWO,11630961.55903829
[2],F15,SCA,3307103.5279738423
[2],F15,WO,8419.783453780481
[2],F16,PSO,444572210628.52167
[2],F16,DE,171373.88664779835
[2],F16,JAYA,107762.21980968572
[2],F16,FF,257055245.55140027
[2],F16,GWO,147566.96485175256
[2],F16,SCA,56239.92868758154
[2],F16,WO,52630.610208320264
[2],F17,PSO,505214.3056968659
[2],F17,DE,74006.18060844674
[2],F17,JAYA,188970.79307111326
[2],F17,FF,103354.14758113892
[2],F17,GWO,79862.08476335168
[2],F17,SCA,96557.44958927453
[2],F17,WO,56954.5248048214
[2],F18,PSO,1464939211419.1143
[2],F18,DE,1933.4591355387358
[2],F18,JAYA,119601357.06016006
[2],F18,FF,24285326638.382286
[2],F18,GWO,61471071275.77713
[2],F18,SCA,160361.62316026728
[2],F18,WO,23847.92860519739
[2],F19,PSO,16035.835483249839
[2],F19,DE,1983.244393215941
[2],F19,JAYA,3563.211319861398
[2],F19,FF,6808.6261308172425
[2],F19,GWO,7324.247162687005
[2],F19,SCA,2421.635239414071
[2],F19,WO,15213.80038707061
[2],F20,PSO,28993.275181407193
[2],F20,DE,2351.842559972003
[2],F20,JAYA,4151.533206033908
[2],F20,FF,18482.389722420176
[2],F20,GWO,8180.131769992874
[2],F20,SCA,2532.516607566645
[2],F20,WO,2358.2584037180836
[3],F1,PSO,76779515371.33096
[3],F1,DE,113.00548640405623
[3],F1,JAYA,5432089749.723825
[3],F1,FF,41427350152.22675
[3],F1,GWO,19011487209.475185
[3],F1,SCA,228056045.57812905
[3],F1,WO,117297927.40314414
[3],F2,PSO,106211.62452969828
[3],F2,DE,200.00000000000003
[3],F2,JAYA,41344.39530316161
[3],F2,FF,69488.30903208912
[3],F2,GWO,55514.2260029775
[3],F2,SCA,2097.693266457664
[3],F2,WO,5918.502114353366
[3],F3,PSO,2192.920574093795
[3],F3,DE,331.8107116647051
[3],F3,JAYA,985.6686625128153
[3],F3,FF,6363.598197182952
[3],F3,GWO,1340.5362354399783
[3],F3,SCA,385.08783437919084
[3],F3,WO,559.7870645738803
[3],F4,PSO,32631.266590258732
[3],F4,DE,605.6940720657085
[3],F4,JAYA,26111.282472391526
[3],F4,FF,47019.76927359966
[3],F4,GWO,50585.44452366589
[3],F4,SCA,1102.8840265326724
[3],F4,WO,4828.480610775069
[3],F5,PSO,500.0279953720075
[3],F5,DE,500.00377741916765
[3],F5,JAYA,500.02482822303887
[3],F5,FF,500.0240007139861
[3],F5,GWO,500.0262201037422
[3],F5,SCA,500.0003447146845
[3],F5,WO,500.0055628984534
[3],F6,PSO,83145.65452115676
[3],F6,DE,710.5826748430037
[3],F6,JAYA,32827.37037940873
[3],F6,FF,34980.85234341669
[3],F6,GWO,39508.68578160242
[3],F6,SCA,5712.157604531187
[3],F6,WO,1007.083032438001
[3],F7,PSO,707.1415948860665
[3],F7,DE,700.1354988684549
[3],F7,JAYA,701.3262695547488
[3],F7,FF,701.499316694817
[3],F7,GWO,701.2117211859869
[3],F7,SCA,700.2441503397312
[3],F7,WO,700.2479857815683
[3],F8,PSO,875.5690928744924
