num_exp,problem,algo,fit
[1],F1,JAYA,57783197758.13406
[1],F2,JAYA,164606.25948695134
[1],F3,JAYA,9959.587970184695
[1],F4,JAYA,51626.771564849485
[1],F5,JAYA,500.01930024934353
[1],F6,JAYA,49042.37866694645
[1],F7,JAYA,701.7891418342216
[1],F8,JAYA,859.7426572340718
[1],F9,JAYA,6974.379082382049
[1],F10,JAYA,6864873.285383702
[1],F11,JAYA,5935292696.683478
[1],F12,JAYA,6785011741.839326
[1],F13,JAYA,4174123.0242606737
[1],F14,JAYA,2154493862.2889066
[1],F15,JAYA,517058824.66433275
[1],F16,JAYA,8955653.984634798
[1],F17,JAYA,614847.7367810069
[1],F18,JAYA,12767503829515.787
[1],F19,JAYA,12489.430302276938
[1],F20,JAYA,61277.04950540097
[2],F1,JAYA,61799042973.50844
[2],F2,JAYA,132242.26591981115
[2],F3,JAYA,12596.427864979874
[2],F4,JAYA,53760.94604681856
[2],F5,JAYA,500.0155733529987
[2],F6,JAYA,50969.57901535701
[2],F7,JAYA,702.234501835755
[2],F8,JAYA,854.4573791018363
[2],F9,JAYA,6826.9020485539595
[2],F10,JAYA,6652948.293242533
[2],F11,JAYA,5493705203.036521
[2],F12,JAYA,6262799129.064873
[2],F13,JAYA,4708502.08097076
[2],F14,JAYA,1040456835.7899978
[2],F15,JAYA,448281973.3950018
[2],F16,JAYA,538275.8742665221
[2],F17,JAYA,2912436.679694795
[2],F18,JAYA,217852824260.94336
[2],F19,JAYA,10612.537768621318
[2],F20,JAYA,60795.22910937718
[3],F1,JAYA,69311300768.78357
[3],F2,JAYA,132108.36278299574
[3],F3,JAYA,5448.195331462536
[3],F4,JAYA,57086.83735075992
[3],F5,JAYA,500.01939501529426
[3],F6,JAYA,62125.976327970915
[3],F7,JAYA,702.6539934545207
[3],F8,JAYA,866.935878398519
[3],F9,JAYA,7118.141995883174
[3],F10,JAYA,4752897.7594455965
[3],F11,JAYA,4324638760.684807
[3],F12,JAYA,2424697411.1862874
[3],F13,JAYA,3883065.9413392562
[3],F14,JAYA,1291191620.6088412
[3],F15,JAYA,512441336.1572883
[3],F16,JAYA,8925191.334646551
[3],F17,JAYA,6122536.191426135
[3],F18,JAYA,912615205074.6451
[3],F19,JAYA,18502.648072629232
[3],F20,JAYA,57774.60141025159
[4],F1,JAYA,59861696322.60693
[4],F2,JAYA,176421.5568704506
[4],F3,JAYA,13797.448538294195
[4],F4,JAYA,48048.35113567661
[4],F5,JAYA,500.0195406448214
[4],F6,JAYA,50795.53159484332
[4],F7,JAYA,701.6370159167701
[4],F8,JAYA,861.9987804284779
[4],F9,JAYA,7075.282399367254
[4],F10,JAYA,1896245.3942004608
[4],F11,JAYA,4998958409.871301
[4],F12,JAYA,6396895153.26633
[4],F13,JAYA,4566957.888454825
[4],F14,JAYA,661942496.4612403
[4],F15,JAYA,66282043.45247612
[4],F16,JAYA,8602405.34957526
[4],F17,JAYA,798223.7835371547
[4],F18,JAYA,373077726583.82404
[4],F19,JAYA,17779.33768447196
[4],F20,JAYA,66403.35832272112
[5],F1,JAYA,54224362273.284775
[5],F2,JAYA,198121.3113897847
[5],F3,JAYA,10361.444272264183
[5],F4,JAYA,64423.836192735456
[5],F5,JAYA,500.02212469584737
[5],F6,JAYA,47946.92338349138
[5],F7,JAYA,701.8207058054975
[5],F8,JAYA,860.3063354396894
[5],F9,JAYA,7033.404124896524
[5],F10,JAYA,5495754.194024074
[5],F11,JAYA,6976501412.3159
[5],F12,JAYA,2171393422.41047
[5],F13,JAYA,4864432.488887386
[5],F14,JAYA,893390597.1181126
[5],F15,JAYA,668533538.0082042
[5],F16,JAYA,1653335.586162051
[5],F17,JAYA,474163.8077725972
[5],F18,JAYA,394600754491.25635
[5],F19,JAYA,19424.69599734663
[5],F20,JAYA,45085.169610419965
[6],F1,JAYA,64491537013.15118
[6],F2,JAYA,167789.54124798963
[6],F3,JAYA,13408.125368482351
[6],F4,JAYA,59901.794308212426
[6],F5,JAYA,500.0157796253095
[6],F6,JAYA,56506.68112582686
[6],F7,JAYA,703.1625110550299
[6],F8,JAYA,858.7075269240547
[6],F9,JAYA,7390.195832210139
[6],F10,JAYA,4739200.915105804
[6],F11,JAYA,6226207741.767425
[6],F12,JAYA,2693565227.482108
[6],F13,JAYA,4588106.273174394
[6],F14,JAYA,954207491.4980235
[6],F15,JAYA,435176150.56693965
[6],F16,JAYA,3683303.6351248166
[6],F17,JAYA,6217118.575867271
[6],F18,JAYA,1904260584528.1384
[6],F19,JAYA,10608.491944677433
[6],F20,JAYA,52596.4556989916
[7],F1,JAYA,66900144598.00459
[7],F2,JAYA,162327.58327525266
[7],F3,JAYA,16268.525321726578
[7],F4,JAYA,54072.84146179997
[7],F5,JAYA,500.0145630559834
[7],F6,JAYA,58972.20100317776
[7],F7,JAYA,702.14706167683
[7],F8,JAYA,845.8213596713816
[7],F9,JAYA,6721.240960957086
[7],F10,JAYA,1663642.4310019454
[7],F11,JAYA,5664277786.930297
[7],F12,JAYA,3527038129.553535
[7],F13,JAYA,5715287.627626956
[7],F14,JAYA,899099338.9203787
[7],F15,JAYA,225359223.83083773
[7],F16,JAYA,49424922.650429554
[7],F17,JAYA,3783623.5458054324
[7],F18,JAYA,4518382980438.135
[7],F19,JAYA,19181.383995325887
[7],F20,JAYA,53124.233938089164
[8],F1,JAYA,61798711120.51038
[8],F2,JAYA,138420.1803665993
[8],F3,JAYA,9548.664580732759
[8],F4,JAYA,48928.160695456245
[8],F5,JAYA,500.01338197138875
[8],F6,JAYA,41856.125284001
[8],F7,JAYA,702.3583365884958
[8],F8,JAYA,860.1098133049406
[8],F9,JAYA,6579.83316159464
[8],F10,JAYA,4987866.192661021
[8],F11,JAYA,5381276818.329921
[8],F12,JAYA,4504087242.463339
[8],F13,JAYA,4835628.146343687
[8],F14,JAYA,1232802190.309633
[8],F15,JAYA,639374313.6503291
[8],F16,JAYA,461192.52108656906
[8],F17,JAYA,5913347.882635974
[8],F18,JAYA,243044774540.04468
[8],F19,JAYA,11949.133392294834
[8],F20,JAYA,61854.791229430884
[9],F1,JAYA,63681593928.90231
[9],F2,JAYA,168040.66898164098
[9],F3,JAYA,11102.7213135461
[9],F4,JAYA,62443.80960624895
[9],F5,JAYA,500.0280884590796
[9],F6,JAYA,49917.93942393059
[9],F7,JAYA,702.5696112570097
[9],F8,JAYA,856.6263419166711
[9],F9,JAYA,7434.02621115286
[9],F10,JAYA,4518752.622011516
[9],F11,JAYA,5935295180.685937
[9],F12,JAYA,3549234072.7722864
[9],F13,JAYA,7224861.3274508305
[9],F14,JAYA,2111387192.8786013
[9],F15,JAYA,530465537.2346978
[9],F16,JAYA,868217.756665099
[9],F17,JAYA,748623.6669030734
[9],F18,JAYA,6075130864610.153
[9],F19,JAYA,8542.67959293443
[9],F20,JAYA,52513.918970399725
[10],F1,JAYA,67748365767.20292
[10],F2,JAYA,161760.03273034008
[10],F3,JAYA,10154.72352901055
[10],F4,JAYA,59364.7280185428
[10],F5,JAYA,500.0222852044914
[10],F6,JAYA,58501.290893016274
[10],F7,JAYA,702.975393207023
[10],F8,JAYA,855.0435429489595
[10],F9,JAYA,6558.408140936056
[10],F10,JAYA,4263435.135892682
[10],F11,JAYA,4671011721.500251
[10],F12,JAYA,1904362794.4914498
[10],F13,JAYA,8566434.439216282
[10],F14,JAYA,621522600.4012798
[10],F15,JAYA,533774784.3928261
[10],F16,JAYA,60814485892.83404
[10],F17,JAYA,5986452.057994511
[10],F18,JAYA,6531122732227.688
[10],F19,JAYA,12008.803666634329
[10],F20,JAYA,54712.93792294454
[11],F1,JAYA,65803980320.34618
[11],F2,JAYA,157012.56549619118
[11],F3,JAYA,9107.636151005287
[11],F4,JAYA,52291.11028197016
[11],F5,JAYA,500.0194981878122
[11],F6,JAYA,46438.50435862793
[11],F7,JAYA,702.9481807590774
[11],F8,JAYA,851.2640166031181
[11],F9,JAYA,7231.7581272835505
[11],F10,JAYA,4753264.2935603345
[11],F11,JAYA,4718145939.746364
[11],F12,JAYA,6870757355.756878
[11],F13,JAYA,9273223.028642712
[11],F14,JAYA,739683126.8322182
[11],F15,JAYA,1215509243.5127244
[11],F16,JAYA,1978242.5507602924
[11],F17,JAYA,484237.5541412204
[11],F18,JAYA,540226676288.0501
[11],F19,JAYA,12004.578615998815
[11],F20,JAYA,61965.73761068142
[12],F1,JAYA,61906969200.31545
[12],F2,JAYA,140614.2924603082
[12],F3,JAYA,8776.095094771397
[12],F4,JAYA,64861.59959764388
[12],F5,JAYA,500.0148108727864
[12],F6,JAYA,50182.45949492761
