num_exp,problem,algo,fit
[1],F1,PSO,12419.852901993181
[1],F1,BB,8386558497.534715
[1],F1,FIPS,37851939750.289406
[1],F1,DE,149.2125310989567
[1],F1,JAYA,7297969930.780046
[1],F1,ABC,3851400917.1587853
[1],F1,CS,6709455.328622386
[1],F1,FF,117865175979.90729
[1],F1,GWO,84596358848.30368
[1],F1,SCA,1267101956.9012954
[1],F1,TLBO,5502.393237658089
[1],F1,WO,490956.59333019104
[1],F2,PSO,200.00000000000003
[1],F2,BB,2650.8661300871718
[1],F2,FIPS,81178.99397784799
[1],F2,DE,200.00000000000003
[1],F2,JAYA,14917.95287563907
[1],F2,ABC,38707.672096933326
[1],F2,CS,5966.021897221918
[1],F2,FF,190256.39604664204
[1],F2,GWO,268492.63610944117
[1],F2,SCA,5060.59892399283
[1],F2,TLBO,200.00000000007753
[1],F2,WO,211.87805738116433
[1],F3,PSO,399.832049519163
[1],F3,BB,917.464235797423
[1],F3,FIPS,3155.0370842314164
[1],F3,DE,331.8107116647051
[1],F3,JAYA,875.4096659409087
[1],F3,ABC,608.6893437071511
[1],F3,CS,373.5521836388917
[1],F3,FF,41591.271816735156
[1],F3,GWO,34652.49818044529
[1],F3,SCA,485.4346835957029
[1],F3,TLBO,333.04243502777945
[1],F3,WO,391.0617716285162
[1],F4,PSO,1846.0113270837558
[1],F4,BB,524.3692952821988
[1],F4,FIPS,44064.64655853385
[1],F4,DE,584.4083986227533
[1],F4,JAYA,6119.224021815238
[1],F4,ABC,6254.935974949391
[1],F4,CS,683.4592160734853
[1],F4,FF,134101.48201755137
[1],F4,GWO,102436.38092340926
[1],F4,SCA,2064.716861326039
[1],F4,TLBO,786.036273112858
[1],F4,WO,765.5587367126359
[1],F5,PSO,500.0000000539004
[1],F5,BB,500.001385305154
[1],F5,FIPS,500.0176235791798
[1],F5,DE,500.0017953808588
[1],F5,JAYA,500.01562000469056
[1],F5,ABC,500.00019101952483
[1],F5,CS,500.0092701460067
[1],F5,FF,500.05867877596614
[1],F5,GWO,500.05868937524383
[1],F5,SCA,500.000466246383
[1],F5,TLBO,500.00024304596207
[1],F5,WO,500.0002897980267
[1],F6,PSO,867.9940246327487
[1],F6,BB,9002.097447269123
[1],F6,FIPS,32056.699856946834
[1],F6,DE,1016.0254222434144
[1],F6,JAYA,14077.303174814626
[1],F6,ABC,5277.33177458608
[1],F6,CS,40927.700570605695
[1],F6,FF,91768.65922679262
[1],F6,GWO,38058.157401472105
[1],F6,SCA,8698.739161350957
[1],F6,TLBO,11179.165461616161
[1],F6,WO,9574.775668586804
[1],F7,PSO,700.0281450599597
[1],F7,BB,700.0163746105828
[1],F7,FIPS,701.5323918462201
[1],F7,DE,700.2592720314785
[1],F7,JAYA,701.9988989173515
[1],F7,ABC,700.0671987332371
[1],F7,CS,701.480946192643
[1],F7,FF,705.5580345728298
[1],F7,GWO,702.6585774886253
[1],F7,SCA,700.2019669738022
[1],F7,TLBO,700.005898232854
[1],F7,WO,700.0006902326716
[1],F8,PSO,809.6531241334186
[1],F8,BB,805.6129386497382
[1],F8,FIPS,820.0999974060154
[1],F8,DE,800.0000000000001
[1],F8,JAYA,807.7964687232615
[1],F8,ABC,804.0903613582698
[1],F8,CS,805.8425014330976
[1],F8,FF,854.6446932745903
[1],F8,GWO,844.2919631049609
[1],F8,SCA,801.9318694998993
[1],F8,TLBO,804.754544985289
[1],F8,WO,827.2458761832285
[1],F9,PSO,3845.1224404289424
[1],F9,BB,5506.200979102058
[1],F9,FIPS,7519.656011421213
[1],F9,DE,8058.633483475139
[1],F9,JAYA,7750.018219046295
[1],F9,ABC,3322.0728257583087
[1],F9,CS,5952.018440396074
[1],F9,FF,9552.890834244077
[1],F9,GWO,7985.038169169916
[1],F9,SCA,5451.494336915098
[1],F9,TLBO,7706.246340284195
[1],F9,WO,5502.674309678265
[1],F10,PSO,32274.228317783993
[1],F10,BB,73794.09027775105
[1],F10,FIPS,181159.06286162336
[1],F10,DE,42778.93771410484
[1],F10,JAYA,226358.1311584227
[1],F10,ABC,43947.85382138776
[1],F10,CS,52148.572508305115
[1],F10,FF,614133926.8814343
[1],F10,GWO,3161101.3802678157
[1],F10,SCA,106523.26492346419
[1],F10,TLBO,17988.458780270113
[1],F10,WO,9103.199559923538
[1],F11,PSO,215363.11290422545
[1],F11,BB,19569345.939270522
[1],F11,FIPS,1769415280.9829047
[1],F11,DE,11248509.559035437
[1],F11,JAYA,1037045049.6241348
[1],F11,ABC,635844447.2687289
[1],F11,CS,12663808.76987739
[1],F11,FF,23167541577.42536
[1],F11,GWO,28787964886.354103
[1],F11,SCA,17832973.124285195
[1],F11,TLBO,6440.403067961224
[1],F11,WO,3127910.1147271306
[1],F12,PSO,13272524.788627857
[1],F12,BB,6956191.685698782
[1],F12,FIPS,1636322482.3092773
[1],F12,DE,9860.21765243262
[1],F12,JAYA,177304362.85627443
[1],F12,ABC,612253859.218269
[1],F12,CS,894909.5323732651
[1],F12,FF,38898418051.67694
[1],F12,GWO,26791109550.454075
[1],F12,SCA,15352898.555859385
[1],F12,TLBO,6104.360092343448
[1],F12,WO,27506.143089423385
