num_exp,problem,algo,fit
[1],F1,SCA,193112032.30021897
[1],F1,GWO,45176605977.05178
[1],F1,WO,586813.5710220507
[1],F2,SCA,1422.3499422938248
[1],F2,GWO,77974.50019648911
[1],F2,WO,4176.309408576142
[1],F3,SCA,354.8489395060608
[1],F3,GWO,7911.655576112428
[1],F3,WO,516.0393729633026
[1],F4,SCA,972.6794622134759
[1],F4,GWO,75415.85312129436
[1],F4,WO,6555.989972408387
[1],F5,SCA,500.0015725498221
[1],F5,GWO,500.02275087740765
[1],F5,WO,500.0053903887677
[1],F6,SCA,7574.877264049874
[1],F6,GWO,40823.13703157061
[1],F6,WO,6860.815221952763
[1],F7,SCA,700.3692530474897
[1],F7,GWO,701.9559660332834
[1],F7,WO,700.7513715150848
[1],F8,SCA,801.4162903828469
[1],F8,GWO,828.1340336205084
[1],F8,WO,817.1395282198563
[1],F9,SCA,5752.319090945618
[1],F9,GWO,8119.036218689993
[1],F9,WO,5801.482184552576
[1],F10,SCA,154106.1011647071
[1],F10,GWO,60954932.22395147
[1],F10,WO,78239.8471287975
[1],F11,SCA,7346317.836654072
[1],F11,GWO,13995993128.444176
[1],F11,WO,677476.1741944151
[1],F12,SCA,2064016.2511397293
[1],F12,GWO,12281691868.068604
[1],F12,WO,66933.6153398114
[1],F13,SCA,270492.49597777345
[1],F13,GWO,5717432.85584056
[1],F13,WO,372848.16619371326
[1],F14,SCA,766169.3141759767
[1],F14,GWO,4838858153.428758
[1],F14,WO,49424.526472769256
[1],F15,SCA,3157697.1167073674
[1],F15,GWO,2187122583.3674207
[1],F15,WO,1298866.2663571236
[1],F16,SCA,23688.697166867867
[1],F16,GWO,109918047793062.75
[1],F16,WO,30812.208915224484
[1],F17,SCA,98606.81880047574
[1],F17,GWO,8081966.120292495
[1],F17,WO,59697.57246344965
[1],F18,SCA,157641.3217025269
[1],F18,GWO,433145615159416.9
[1],F18,WO,26352.787049426763
[1],F19,SCA,2455.778176889472
[1],F19,GWO,9312.565725064578
[1],F19,WO,9223.7615927812
[1],F20,SCA,2823.889109910326
