num_exp,problem,algo,fit
[1],F1,GWO,459719255.883894
[1],F2,GWO,4408.537087220683
[1],F3,GWO,335.9914928204895
[1],F4,GWO,1447.117714336259
[1],F5,GWO,500.00000155415734
[1],F6,GWO,2510.081368422921
[1],F7,GWO,700.0361616347504
[1],F8,GWO,806.4419280303408
[1],F9,GWO,3243.045104703353
[1],F10,GWO,112810.55492182382
[1],F11,GWO,9141151.006965041
[1],F12,GWO,1542763.0075499082
[1],F13,GWO,217460.53441463248
[1],F14,GWO,190908.29538362476
[1],F15,GWO,21843.379202614244
[1],F16,GWO,62201.881842531475
[1],F17,GWO,54372.23773907733
[1],F18,GWO,55617.592713702725
[1],F19,GWO,2190.5060912135777
[1],F20,GWO,2395.453044548729
[2],F1,GWO,216665885.6232453
[2],F2,GWO,802.8474020385191
[2],F3,GWO,382.60451373153876
[2],F4,GWO,1001.1219660190934
[2],F5,GWO,500.000015648526
[2],F6,GWO,8302.299554871757
[2],F7,GWO,701.0689154326418
[2],F8,GWO,800.4601554891663
[2],F9,GWO,3862.947866866134
[2],F10,GWO,72979.00247209643
[2],F11,GWO,17857912.004967883
[2],F12,GWO,508702.22876909416
[2],F13,GWO,132997.92682009924
[2],F14,GWO,86860.83952201305
[2],F15,GWO,43850.328044766284
[2],F16,GWO,53347.09323714485
[2],F17,GWO,108623.28316212073
[2],F18,GWO,93594.63976218524
[2],F19,GWO,2539.7571881183003
[2],F20,GWO,2839.1087388633905
[3],F1,GWO,2744715437.186746
[3],F2,GWO,1654.5907085339236
[3],F3,GWO,495.03194925259356
[3],F4,GWO,1651.737656924892
[3],F5,GWO,500.0000404868735
[3],F6,GWO,13955.528502590167
[3],F7,GWO,700.0069267130344
[3],F8,GWO,801.145233757393
[3],F9,GWO,4872.709112093313
[3],F10,GWO,66646.97909577018
[3],F11,GWO,5778237.597869055
[3],F12,GWO,1604701.2649746432
[3],F13,GWO,353906.97372395056
[3],F14,GWO,89702.28194747838
[3],F15,GWO,19212.856250994555
[3],F16,GWO,34313.256521011135
[3],F17,GWO,87080.73594186283
[3],F18,GWO,116359.5726180144
[3],F19,GWO,2619.6761048305357
[3],F20,GWO,2371.066807909292
[4],F1,GWO,3672124264.7632484
[4],F2,GWO,445.9666002228463
[4],F3,GWO,399.3923952874834
[4],F4,GWO,1112.6170614475866
[4],F5,GWO,500.00001629961
[4],F6,GWO,15930.15255108312
[4],F7,GWO,700.0131552711587
[4],F8,GWO,800.9908789930273
[4],F9,GWO,3653.7984484652807
[4],F10,GWO,55698.09133038187
[4],F11,GWO,65641739.73897211
[4],F12,GWO,558192.6574578879
[4],F13,GWO,303629.21590337536
[4],F14,GWO,94793.60202646634
[4],F15,GWO,40071.95802803748
[4],F16,GWO,30611.965325771438
[4],F17,GWO,88611.72439539163
[4],F18,GWO,44254.674583234155
[4],F19,GWO,2510.465384919632
[4],F20,GWO,2484.8950969181583
[5],F1,GWO,502477700.68854994
[5],F2,GWO,1372.144639256382
[5],F3,GWO,345.68710365768175
[5],F4,GWO,1523.948317082048
[5],F5,GWO,500.00035676965035
[5],F6,GWO,9102.95123013813
[5],F7,GWO,700.0124304987479
[5],F8,GWO,802.1039408764117
[5],F9,GWO,7044.035678336776
[5],F10,GWO,95810.3267023635
[5],F11,GWO,28118694.529744253
[5],F12,GWO,202682.03735583017
[5],F13,GWO,193021.1379777215
[5],F14,GWO,127706.93997161035
[5],F15,GWO,19476.86278715174
[5],F16,GWO,29744.230718245308
[5],F17,GWO,83990.36740186796
[5],F18,GWO,40564.01602957319
[5],F19,GWO,2215.819738486139
[5],F20,GWO,2464.8012561260366
[6],F1,GWO,149129926.13696602
[6],F2,GWO,2510.6651145346177
[6],F3,GWO,430.40453585583487
[6],F4,GWO,861.699021837878
[6],F5,GWO,500.0000053309554
[6],F6,GWO,8276.615483691116
[6],F7,GWO,701.207748575245
[6],F8,GWO,801.5927713878764
[6],F9,GWO,3941.5159512520713
[6],F10,GWO,95340.6215879826
[6],F11,GWO,56485944.35974038
[6],F12,GWO,2756660.4510897277
[6],F13,GWO,111356.5431264865
[6],F14,GWO,230176.529475767
[6],F15,GWO,4102859.8864555573
[6],F16,GWO,26901.02973885869
[6],F17,GWO,94371.34516218535
[6],F18,GWO,70420.88513655495
[6],F19,GWO,2460.3058136305212
[6],F20,GWO,3191.266434845844
[7],F1,GWO,93613556.57369737
[7],F2,GWO,5951.707087024352
[7],F3,GWO,461.8849191249618
[7],F4,GWO,848.8725275104549
[7],F5,GWO,500.00000807992706
[7],F6,GWO,7553.608289920878
[7],F7,GWO,700.5180444170761
[7],F8,GWO,804.5310148080779
[7],F9,GWO,3282.5665538596513
[7],F10,GWO,98909.88237928349
[7],F11,GWO,12744768.551162722
[7],F12,GWO,1306848.629721262
[7],F13,GWO,279911.9856218014
[7],F14,GWO,126336.79428081652
[7],F15,GWO,22483.683770547923
[7],F16,GWO,22922.994021656552
[7],F17,GWO,92786.99734070816
[7],F18,GWO,58199.24247024229
[7],F19,GWO,2165.2759781936084
[7],F20,GWO,2858.838345967816
[8],F1,GWO,173472888.7547892
[8],F2,GWO,1771.2402915134508
[8],F3,GWO,374.0348288292488
[8],F4,GWO,639.0778070234489
[8],F5,GWO,500.0000144015688
[8],F6,GWO,13948.95925725087
[8],F7,GWO,700.6061692982047
[8],F8,GWO,802.4425973156514
[8],F9,GWO,4654.79898069682
[8],F10,GWO,101182.59686836659
[8],F11,GWO,22186312.07025687
[8],F12,GWO,1373303.30608976
[8],F13,GWO,179818.77287795854
[8],F14,GWO,121375.6121534232
[8],F15,GWO,33690.08492798156
[8],F16,GWO,52120.633601794136
[8],F17,GWO,93241.37823715218
[8],F18,GWO,932158.675416322
[8],F19,GWO,2520.710888655043
[8],F20,GWO,2467.7693533360734
[9],F1,GWO,61877797.0465743
[9],F2,GWO,4506.444852253737
[9],F3,GWO,382.44766758672756
[9],F4,GWO,2216.0895469333263
[9],F5,GWO,500.0000933068027
[9],F6,GWO,9168.703821468758
[9],F7,GWO,700.0061740651109
[9],F8,GWO,800.7022687929687
[9],F9,GWO,7795.875978777318
[9],F10,GWO,55565.46020889435
[9],F11,GWO,5497708.1381948935
[9],F12,GWO,487243.15234960173
[9],F13,GWO,125788.48797177414
[9],F14,GWO,136345.4508167953
[9],F15,GWO,29197.207383211367
[9],F16,GWO,58066.52723595233
[9],F17,GWO,112089.49156180586
[9],F18,GWO,60560.29235083256
[9],F19,GWO,2266.4992288971266
[9],F20,GWO,2527.1587737905797
[10],F1,GWO,888329384.8549376
[10],F2,GWO,2542.778740364391
[10],F3,GWO,510.9963896560409
[10],F4,GWO,1337.372729063345
[10],F5,GWO,500.0000160186584
[10],F6,GWO,9583.383387125668
