num_exp,problem,algo,fit
[1],F1,SCA,137084941.40384266
[1],F2,SCA,2629.969923481647
[1],F3,SCA,352.560190394407
[1],F4,SCA,1724.2065359773694
[1],F5,SCA,500.00051561837483
[1],F6,SCA,5774.889003163497
[1],F7,SCA,700.2200019154769
[1],F8,SCA,801.2178671033787
[1],F9,SCA,5125.990457592685
[1],F10,SCA,83799.39771781764
[1],F11,SCA,9827903.479797073
[1],F12,SCA,3057316.585542074
[1],F13,SCA,374055.41916648066
[1],F14,SCA,416496.3784317668
[1],F15,SCA,84578.43803909747
[1],F16,SCA,25317.088573824803
[1],F17,SCA,108085.48181419262
[1],F18,SCA,400521.3692448447
[1],F19,SCA,2351.794080535003
[1],F20,SCA,2573.839831816143
[2],F1,SCA,350278879.8843545
[2],F2,SCA,1768.3037702515971
[2],F3,SCA,390.1212457593469
[2],F4,SCA,1004.4231499920586
[2],F5,SCA,500.0007457394331
[2],F6,SCA,5902.981635669822
[2],F7,SCA,700.3014739181517
[2],F8,SCA,800.6381251851918
[2],F9,SCA,5891.541167543236
[2],F10,SCA,120032.08060318512
[2],F11,SCA,6204505.290013962
[2],F12,SCA,4892914.320427482
[2],F13,SCA,305517.5968650798
[2],F14,SCA,458869.2866199057
[2],F15,SCA,4236917.831337527
[2],F16,SCA,36694.38799228262
[2],F17,SCA,86991.3980857737
[2],F18,SCA,383211.99914153724
[2],F19,SCA,2247.5491767311055
[2],F20,SCA,2587.7349589004457
[3],F1,SCA,370588063.15051574
[3],F2,SCA,1517.173855427812
[3],F3,SCA,387.0300684250601
[3],F4,SCA,1022.5707567372814
[3],F5,SCA,500.00078806792123
[3],F6,SCA,25975.56706114247
[3],F7,SCA,700.2699312657953
[3],F8,SCA,801.3350846622124
[3],F9,SCA,6386.160715892953
[3],F10,SCA,131877.52370385197
[3],F11,SCA,10257994.450457482
[3],F12,SCA,2757556.1318020606
[3],F13,SCA,200202.8021795193
[3],F14,SCA,285216.4905332022
[3],F15,SCA,46785.05488069937
[3],F16,SCA,54024.59120339163
[3],F17,SCA,100804.99864284685
[3],F18,SCA,487893.67767814203
[3],F19,SCA,2370.774824595268
[3],F20,SCA,2578.3429403997325
[4],F1,SCA,274754881.9309582
[4],F2,SCA,1455.7383635394656
[4],F3,SCA,383.3285168839824
[4],F4,SCA,1111.1914796285191
[4],F5,SCA,500.0007453278124
[4],F6,SCA,13611.193933528335
[4],F7,SCA,700.0659846563564
[4],F8,SCA,800.4256797437577
[4],F9,SCA,6168.841584846141
[4],F10,SCA,131280.42808401643
[4],F11,SCA,6370774.098307487
[4],F12,SCA,1525350.4535574587
[4],F13,SCA,242509.0784511267
[4],F14,SCA,853508.921527931
[4],F15,SCA,84526.92655083959
[4],F16,SCA,69388.42019586773
[4],F17,SCA,85919.81259891685
[4],F18,SCA,193088.52497671507
[4],F19,SCA,2229.455726357753
[4],F20,SCA,2830.3437672726095
[5],F1,SCA,229917796.61935923
[5],F2,SCA,2306.6406571658217
[5],F3,SCA,348.9708075556583
[5],F4,SCA,1059.4183675298386
[5],F5,SCA,500.00085783735216
[5],F6,SCA,9842.662146957564
